param_index,param_name,unit,norm_value,readback,display
0,"Volume"," dB",0.000000,0.000000,"  -oo   "
0,"Volume"," dB",0.031250,0.030000,"-30.4575"
0,"Volume"," dB",0.062500,0.060000,"-24.4369"
0,"Volume"," dB",0.093750,0.090000,"-20.9151"
0,"Volume"," dB",0.125000,0.120000,"-18.4163"
0,"Volume"," dB",0.156250,0.150000,"-16.4781"
0,"Volume"," dB",0.187500,0.180000,"-14.8945"
0,"Volume"," dB",0.218750,0.210000,"-13.5556"
0,"Volume"," dB",0.250000,0.250000,"-12.0411"
0,"Volume"," dB",0.281250,0.280000,"-11.0568"
0,"Volume"," dB",0.312500,0.310000,"-10.1727"
0,"Volume"," dB",0.343750,0.340000,"-9.37042"
0,"Volume"," dB",0.375000,0.370000,"-8.63596"
0,"Volume"," dB",0.406250,0.400000,"-7.95880"
0,"Volume"," dB",0.437500,0.430000,"-7.33063"
0,"Volume"," dB",0.468750,0.460000,"-6.74484"
0,"Volume"," dB",0.500000,0.500000,"-6.02059"
0,"Volume"," dB",0.531250,0.530000,"-5.51448"
0,"Volume"," dB",0.562500,0.560000,"-5.03623"
0,"Volume"," dB",0.593750,0.590000,"-4.58296"
0,"Volume"," dB",0.625000,0.620000,"-4.15216"
0,"Volume"," dB",0.656250,0.650000,"-3.74173"
0,"Volume"," dB",0.687500,0.680000,"-3.34982"
0,"Volume"," dB",0.718750,0.710000,"-2.97483"
0,"Volume"," dB",0.750000,0.750000,"-2.49877"
0,"Volume"," dB",0.781250,0.780000,"-2.15810"
0,"Volume"," dB",0.812500,0.810000,"-1.83029"
0,"Volume"," dB",0.843750,0.840000,"-1.51441"
0,"Volume"," dB",0.875000,0.870000,"-1.20961"
0,"Volume"," dB",0.906250,0.900000,"-0.91515"
0,"Volume"," dB",0.937500,0.930000,"-0.63034"
0,"Volume"," dB",0.968750,0.960000,"-0.35457"
0,"Volume"," dB",1.000000,1.000000,"0.000000"
1,"Pan","",0.000000,0.000000,"-100"
1,"Pan","",0.031250,0.035000,"-93"
1,"Pan","",0.062500,0.065000,"-87"
1,"Pan","",0.093750,0.095000,"-81"
1,"Pan","",0.125000,0.125000,"-75"
1,"Pan","",0.156250,0.160000,"-68"
1,"Pan","",0.187500,0.190000,"-62"
1,"Pan","",0.218750,0.220000,"-56"
1,"Pan","",0.250000,0.250000,"-50"
1,"Pan","",0.281250,0.285000,"-43"
1,"Pan","",0.312500,0.315000,"-37"
1,"Pan","",0.343750,0.345000,"-31"
1,"Pan","",0.375000,0.375000,"-25"
